Month-Year	Number	Questions	Choice A	Choice B	Choice C	Choice D	Choice E	Answer
21-Jan	1	Which of the following is responsible for enforcing rules during a cybersecurity exercise?	White team	Purple team	Red team	Blue team	N/A	A
21-Jan	2	Which of the following would be considered an authentication attribute?	Something you know	Something you have	Somewhere you are	Something you are	N/A	C
21-Jan	3	Which of the following is used by WPA3 to prevent PSK brute force attacks?	AES	SAE	Strong passwords	CCMP	N/A	B
21-Jan	4	A security team has been asked to document information in the Diamond Model. Which of the following BEST describes this model?	Encryption Complexity	Disaster Recovery Process	Application Containerization	Intrusion Analysis	N/A	D
21-Jan	5	Which of the following companies would be MOST likely to manage PHI?	Car manufacturing	Airport transportation	Surgery center	Credit card services	N/A	C
21-Jan	6	An attacker is modifying data sent in real-time between two devices. Which of the following attacks is MOST likely in use?	On-path	Wireless jamming	Denial of service	MAC flooding	N/A	A
21-Feb	7	Which of the following would be the BEST way to provide connectivity to VPCs?	Transit gateway	Containerization manager	Function as a Service	Rapid elasticity	N/A	A
21-Feb	8	Which of the following would be the BEST way to monitor a cloud-based microservice architecture?	IPS	SNMP traps	IPsec	API inspection	N/A	D
21-Feb	9	Which of the following would be the BEST method of sending data to a specific port number on a remote device?	traceroute	netcat	dig	route	N/A	B
21-Feb	10	Which security framework is mandatory for US federal agencies and includes a six step process?	NIST RMF	SSAE SOC 2 TYPE I/II	CSA CCM	CIS CSC	N/A	A
21-Feb	11	Which of these threat actors would be motivated by social change and would likely have limited funding options?	Nation state	Shadow IT	Competitor	Hacktivist	Organized crime	D
21-Mar	12	A system administrator has replaced a storage drive and restored a server from backup using a full backup and multiple additional tape sets. Which of the following would BEST describe this backup type?	Incremental	Full	Scheduled	Differential	Imaged	A
21-Mar	13	Which of these features is available when using MAM?	Automated failover	Enterprise app catalog	Encrypted tunnels	Multiple authentication factors	FDE	B
21-Mar	14	A system administrator would like to identify all known vulnerabilities on a remote device. Which of the following would be the BEST choice for this task?	Cuckoo	dnsenum	scanless	theHarvester	Nessus	E
21-Mar	15	"A pair of managers in the IT department have access to the safe, but each person only knows half of the combination. Which of the following would describe this policy?"	Least privilege	Separation of duties	Corrective control	Clean desk policy	Non-disclosure agreement	B
21-Mar	16	An attacker has circumvented a security control by modifying their MAC address. Which of the following would describe this attack type?	Cloning	Denial of service	Jamming	Rogue access point	Malicious script	A
21-Mar	17	A data center optimizes the cooling process by specifying the orientation of equipment during installation. Which of the following would describe this technique?	Air gap	Dual power supplies	Hot and cold aisles	Faraday cage	USB data blocker	C
21-Apr	18	A security engineer would like to connect a private cloud subnet to other cloud services. Which of the following would be the BEST choice?	Default route	SSL VPN	VPC gateway	Container	WPA3	C
21-Apr	19	An endpoint security client has identified a suspicious application and moved the file to a safe area. Which of the following would describe this activity?	Approval list	Hash identification	Quarantine	Digital signature	Block list	C
21-Apr	20	Which of the following would be MOST associated with AIS?	STIX and TAXII	0-day attacks	Syslog	Data exfiltration	Encrypted tunnel	A
21-Apr	21	A database has been modified so that every person listed in the database has been replaced with a completely different first and last name. Which of the following would BEST describe this modification?	Proxy	Pseudonymization	Intelligence fusion	OSINT	Fake telemetry	B
21-Apr	22	A user inputs a PIN during the login process. Which of the following would describe this authentication method?	TOTP	Push notification	Attestation	Static code	Federation	D
21-May	23	Which of the following is used to secure WPA3 PSK authentication?	SAE	CCMP	WPS	TKIP	CBC-MAC	A
21-May	24	Which of these best describes authentication that is genuine with high confidence?	Hashing	Integrity	Counterintelligence	E-discovery	Non-repudiation	E
21-May	25	Which of the following would be the BEST example of a detective security control?	IPS	Security policy	Fence	Hot site	Backup	A
21-May	26	Which of these would BEST describe a ZIP bomb?	Directory traversal	NULL pointer dereference	API attack	Memory leak	Resource exhaustion	E
21-May	27	Which of the following would be the best way to prevent a worm entering the network through a USB flash drive?	NGFW	DNS sinkhole	DLP	SIEM	Screened subnet	C
21-Jun	28	Which of the following is commonly used to verify device drivers during Windows startup?	ELAM	TPM	RBAC	802.1X	HSM	A
21-Jun	29	A pentester is gathering OSINT prior to a scheduled test. Which of the following would be the BEST choice for this task?	Nmap	curl	theHarvester	Cuckoo	Nessus	C
21-Jun	30	A prospective employee was dropped from a job consideration after receiving the results of a background check. Which of the following describes this process?	Offboarding	Adverse action	Contingency planning	NDA	PII	B
21-Jun	31	Which of the following would use rules to limit API communication?	TLS	WAF	NAT	SSH	VPN	B
21-Jun	32	Which of the following allows the browser to check for certificate revocation?	OCSP	TLS	CN	CSR	CA	A
21-Jul	33	Which of the following provides a knowledge base of adversary tactics and techniques?	Diamond model	EAP-TTLS	MITRE ATT&CK framework	ISO 31000	SSAE SOC 2	C
21-Jul	34	Which security control would MOST associated with a backup generator?	Physical	Compensating	Detective	Preventive	Managerial	B
21-Jul	35	Which of the following would be the BEST way to randomize multiple hashes of the same data?	SDN	FDE	Key exchange	VPN	Salt	E
21-Jul	36	Which of the following would determine which laws would apply to stored data?	Diffusion	Data-at-rest	Sovereignty	Information Rights Management	Masking	C
21-Jul	37	Which of the following would be the MOST secure way of viewing traffic statistics from a router?	SNMPv3	FTPS	SMB	RDP	Telnet	A
21-Aug	38	A security administrator would like to restrict application use to a predefined set of apps. Which of the following would BEST describe this security type?	Deny list	Quarantine	DLP	Approved List	Segmentation	D
21-Aug	39	"A company has determined that laptops valued at $50,000 have been stolen over the last calendar year. Which of the following would describe this value?"	ARO	Risk appetite	SLE	ALE	Inherent Risk	D
21-Aug	40	Which of the following would be categorized as OSINT?	Annual financial report	File of password hashes	ISO 27701	DNS sinkhole address	SSH login without a password	A
21-Aug	41	Which of the following would commonly be used for an IoT sensor located in the middle of a 40 acre pasture on a farm?	Zigbee	Narrowband	1000BASE-T	802.1X	Bluetooth	B
21-Aug	42	Which of the following uses GCMP block cipher mode as the encryption method?	EAP-TLS	WPS	WPA3	SFTP	RADIUS federation	C
21-Sep	43	Which of the following would be the BEST way to add information to a Linux system log?	grep	tail	dnsenum	tcpdump	logger	E
21-Sep	44	The vice president of sales is responsible for all customer relationship data. Which of the following would BEST describe this VP?	Data custodian	Data owner	Data protection officer	Data controller	Data processor	B
21-Sep	45	"A scan has identified a vulnerability on a Windows server, but the server has been previously patched for the vulnerability. Which of the following would BEST describe this result?"	False negative	Credentialed scan	Low-severity	False positive	Non-intrusive scan	D
21-Sep	46	Which of the following is the meeting point between FAR and FRR?	CER	AES	TPM	MTBF	CSR	A
21-Sep	47	Which of the following provides a method of creating secure digital signatures in an email client?	S/MIME	SRTP	IPsec	LDAPS	NTPsec	A
21-Oct	48	Which of these provides the BEST way to indirectly identify an open port?	theHarvester	dnsenum	scanless	curl	sn1per	C
21-Oct	49	Which of the following focuses on a user's control of their personal data?	PCI DSS	SIEM	HIPAA	SOX	GDPR	E
21-Oct	50	Which of these attack types would cause a switch to send data to all interfaces?	DNS poisoning	Rogue access point	Bluejacking	MAC flooding	Domain hijacking	D
21-Oct	51	A user has an image with data hidden inside of the file. Which of the following would describe this data storage?	Hashing	Steganography	Quantum computing	Asymmetric	Blockchain	B
21-Oct	52	Which secure protocol would be the BEST choice for a site-to-site VPN?	DNSSEC	LDAPS	IPsec	SFTP	SNMPv3	C
21-Nov	53	A security administrator would like to view a summary of network conversations for the last 24 hours. Which of the following would provide this information?	sFlow	TAXII	OWASP	HSM	OSINT	A
